Pollster	Date	SS	MoE	Gustavo_Petro	Rodolfo_Hernandez	En_Blanco	None	Uncertain	Source	Link
Yanhaas	2022-03-17	1236	0.032	0.41	0.32	NA	0.27	NA	LaFM	https://www.lafm.com.co/politica/la-gran-encuesta-petro-encabeza-intencion-de-voto-para-las-presidenciales-seguido-por-fico
CNC	2022-03-30	4206	0.015	0.426	0.363	0.045	0.124	0.041	Semana	https://www.semana.com/nacion/articulo/segunda-vuelta-presidencial-de-infarto-fico-gutierrez-esta-a-solo-tres-puntos-de-gustavo-petro/202242/
CNC	2022-04-06	1965	0.022	0.4	0.38	0.04	0.1	0.08	ElTiempo	https://www.eltiempo.com/elecciones-2022/presidencia/petro-34-fico-23-rodolfo-12-y-fajardo-9-en-nueva-encuesta-663957
Invamer	2022-04-24	2000	0.0219	0.56	0.406	0.034	NA	NA	CaracolTV	https://noticias.caracoltv.com/politica/elecciones-colombia/encuestas/petro-baja-un-punto-pero-sigue-arriba-fico-sube-18-y-fajardo-pierde-8-5-encuesta-invamer-rg10
Guarumo	2022-04-27	2132	0.025	0.445	0.371	0.086	NA	0.098	ElTiempo	https://www.eltiempo.com/elecciones-2022/presidencia/encuesta-de-guarumo-petro-y-fico-favoritos-para-primera-vuelta-668979
Yanhaas	2022-05-04	1232	0.032	0.46	0.31	0.13	0.23	NA	ElTiempo	https://www.eltiempo.com/elecciones-2022/presidencia/encuesta-presidencial-petro-se-mantiene-primero-fico-segundo-671401
Invamer	2022-05-16	2000	0.027	0.5	0.474	0.026	NA	NA	CaracolTV	https://noticias.caracoltv.com/politica/elecciones-colombia/encuestas/encuesta-invamer-del-mes-de-mayo-rodolfo-hernandez-la-sorpresa-rg10
CNC	2022-05-16	4412	0.015	0.405	0.405	0.037	0.093	0.06	Semana	https://www.semana.com/nacion/articulo/federico-gutierrez-y-rodolfo-hernandez-practicamente-empatados-en-primera-vuelta-encuesta-del-cnc/202202/
Mosqueteros	2022-05-17	6000	0.0127	0.453	0.35	0.197	NA	NA	Wradio	https://www.wradio.com.co/2022/05/19/encuesta-mosqueteros-petro-con-4473-fico-con-2242-y-rodolfo-hernandez-con-1584-lideran-intencion-de-voto/
Guarumo	2022-05-18	2258	0.025	0.452	0.415	0.086	NA	0.047	ElColombiano	https://www.elcolombiano.com/colombia/petro-va-a-segunda-vuelta-con-fico-gutierrez-y-rodolfo-hernandez-queda-de-tercero-por-encima-de-fajardo-encuesta-2022-HH17546427
AtlasIntel	2022-05-19	2781	0.02	0.398	0.482	0.04	0.04	0.04	AtlasIntel	https://atlasintel.org/poll/colombia-national-2022-05-20
GAD3	2022-05-31	1200	0.029	0.448	0.525	0.027	NA	NA	RCNRadio	https://www.noticiasrcn.com/elecciones/resultados-primera-encuesta-de-tracking-presidencial-420694
CNC	2022-05-31	1200	0.028	0.39	0.41	0.05	0.01	0.14	ElTiempo	https://www.eltiempo.com/elecciones-2022/presidencia/encuesta-presidencial-segunda-vuelta-rodolfo-adelante-de-petro-676660
GAD3	2022-06-01	1755	0.024	0.451	0.523	0.026	NA	NA	RCNRadio	https://www.rcnradio.com/politica/rodolfo-hernandez-sigue-liderando-intencion-de-voto-en-segunda-vuelta-con-el-523-según
MassiveCaller	2022-06-01	1000	0.034	0.446	0.554	NA	NA	NA	MassiveCaller	https://www.massivecaller.com/files/colombia.pdf
CNC	2022-06-01	2172	0.021	0.449	0.41	0.03	0.017	0.094	Semana	https://www.semana.com/nacion/articulo/atencion-se-aprieta-la-competencia-por-la-presidencia-segun-cnc-gustavo-petro-449-y-rodolfo-hernandez-41/202206/
Yanhaas	2022-06-01	1234	0.032	0.42	0.41	0.13	NA	0.05	NoticiasRCN	https://www.noticiasrcn.com/elecciones/petro-y-hernandez-los-separa-1-en-intencion-de-voto-421054?utm_medium=Social&utm_source=Twitter#Echobox=1654464621
GAD3	2022-06-02	2308	0.021	0.456	0.504	0.04	NA	NA	RCNRadio	https://www.rcnradio.com/politica/rodolfo-hernandez-sigue-liderando-intencion-de-voto-en-segunda-vuelta-pero-paso-del-525-al
GAD3	2022-06-03	2840	0.019	0.463	0.479	0.058	NA	NA	RCNRadio	https://www.rcnradio.com/politica/rodolfo-hernandez-sigue-liderando-y-el-voto-en-blanco-crece-segun-tracking-presidencial
Guarumo	2022-06-03	1958	0.025	0.433	0.464	0.084	NA	0.019	ElTiempo	https://www.eltiempo.com/elecciones-2022/presidencia/nueva-encuesta-de-intencion-de-voto-a-la-segunda-vuelta-presidencial-677733
