Date	SS	Gustavo_Petro	Rodolfo_Hernandez	En_Blanco	None	Uncertain			
2022-03-17	1236	0.41	0.32	0	0.27	0			
2022-03-30	4206	0.426	0.363	0.045	0.124	0.041			
2022-04-06	1965	0.4	0.38	0.04	0.1	0.08			
2022-04-24	2000	0.56	0.406	0.034	0	0			
2022-04-27	2132	0.445	0.371	0.086	0	0.098			
2022-05-04	1232	0.46	0.31	0.13	0.23	0			
2022-05-16	3659.660636	0.43463194	0.426522146	0.033568933	0.06399189	0.04128509			
2022-05-17	6000	0.453	0.35	0.197	0	0			
2022-05-18	2258	0.452	0.415	0.086	0	0.047			
2022-05-19	2781	0.398	0.482	0.04	0.04	0.04			
2022-05-31	1200	0.419	0.4675	0.0385	0.005	0.07			
2022-06-01	1480.952813	0.449185118	0.534252269	0.016562613	0	0			
2022-06-02	2308	0.456	0.504	0.04	0	0			
2022-06-03	2480.067528	0.450757399	0.472878699	0.068610254	0	0.007753647			
2022-06-04	3240	0.468	0.481	0.051	0	0			
2022-06-05	1329	0.472	0.482	0.047	0	0			
2022-06-06	3641	0.468	0.478	0.054	0	0			
2022-06-07	3437.746677	0.474826027	0.484291014	0.04088296	0	0			
2022-06-08	4476.712722	0.458434786	0.44983753	0.050931976	0	0.041119626			
2022-06-09	4836	0.481	0.468	0.051	0	0			
2022-06-10	4881.973101	0.472841492	0.489588581	0.0380303	0	0			
									
									
									
									
									
									
									
									
									
									
